Move,Type,Cat.,Pwr.,Acc.,PP,S. Contest,Appeal,Pokemon Name,level
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Psyduck,31
Psych Up,Normal,Status,—,—%,10,Smart,0,Psyduck,35
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Psyduck,40
Amnesia,Psychic,Status,—,—%,20,Cute,0,Psyduck,44
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Psyduck,48
Aqua Jet,Water,Physical,40,100%,20,Beauty,2 ♥♥,Golduck,1
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Golduck,1
Water Sport,Water,Status,—,—%,15,Cute,2 ♥♥,Golduck,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Golduck,1
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Golduck,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Golduck,5
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Golduck,9
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Golduck,14
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Golduck,18
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Golduck,22
Fury Swipes,Normal,Physical,18,80%,15,Tough,2 ♥♥,Golduck,27
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Golduck,31
Psych Up,Normal,Status,—,—%,10,Smart,0,Golduck,37
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Golduck,44
Amnesia,Psychic,Status,—,—%,20,Cute,0,Golduck,50
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Golduck,56
Low Kick,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machop,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Machop,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Machop,7
Karate Chop,Fighting,Physical,50,100%,25,Tough,3 ♥♥♥,Machop,10
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Machop,13
Seismic Toss,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machop,19
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Machop,22
Vital Throw,Fighting,Physical,70,—%,10,Cool,2 ♥♥,Machop,25
Submission,Fighting,Physical,80,80%,25,Cool,3 ♥♥♥,Machop,31
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Machop,34
Cross Chop,Fighting,Physical,100,80%,5,Cool,2 ♥♥,Machop,37
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Machop,43
DynamicPunch,Fighting,Physical,100,50%,5,Cool,2 ♥♥,Machop,46
Low Kick,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machoke,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Machoke,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Machoke,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Machoke,7
Karate Chop,Fighting,Physical,50,100%,25,Tough,3 ♥♥♥,Machoke,10
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Machoke,13
Seismic Toss,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machoke,19
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Machoke,22
Vital Throw,Fighting,Physical,70,—%,10,Cool,2 ♥♥,Machoke,25
Submission,Fighting,Physical,80,80%,25,Cool,3 ♥♥♥,Machoke,32
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Machoke,36
Cross Chop,Fighting,Physical,100,80%,5,Cool,2 ♥♥,Machoke,40
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Machoke,44
DynamicPunch,Fighting,Physical,100,50%,5,Cool,2 ♥♥,Machoke,51
Low Kick,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machamp,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Machamp,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Machamp,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Machamp,7
Karate Chop,Fighting,Physical,50,100%,25,Tough,3 ♥♥♥,Machamp,10
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Machamp,13
Seismic Toss,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Machamp,19
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Machamp,22
Vital Throw,Fighting,Physical,70,—%,10,Cool,2 ♥♥,Machamp,25
Submission,Fighting,Physical,80,80%,25,Cool,3 ♥♥♥,Machamp,32
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Machamp,36
Cross Chop,Fighting,Physical,100,80%,5,Cool,2 ♥♥,Machamp,40
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Machamp,44
DynamicPunch,Fighting,Physical,100,50%,5,Cool,2 ♥♥,Machamp,51
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Tyrogue,1
Helping Hand,Normal,Status,—,—%,20,Smart,1 ♥,Tyrogue,1
Fake Out,Normal,Physical,40,100%,10,Cute,2 ♥♥,Tyrogue,1
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Tyrogue,1
Double Kick,Fighting,Physical,30,100%,30,Cool,2 ♥♥,Hitmonlee,1
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Hitmonlee,1
Meditate,Psychic,Status,—,—%,40,Beauty,0,Hitmonlee,5
Rolling Kick,Fighting,Physical,60,85%,15,Cool,3 ♥♥♥,Hitmonlee,9
Jump Kick,Fighting,Physical,85,95%,25,Cool,3 ♥♥♥,Hitmonlee,13
Brick Break,Fighting,Physical,75,100%,15,Cool,3 ♥♥♥,Hitmonlee,17
Focus Energy,Normal,Status,—,—%,30,Cool,0,Hitmonlee,21
Feint,Normal,Physical,50,100%,10,Beauty,0,Hitmonlee,25
Hi Jump Kick,Fighting,Physical,100,90%,20,Cool,3 ♥♥♥,Hitmonlee,29
Mind Reader,Normal,Status,—,—%,5,Smart,1 ♥,Hitmonlee,33
Foresight,Normal,Status,—,—%,40,Smart,1 ♥,Hitmonlee,37
Blaze Kick,Fire,Physical,85,90%,10,Beauty,2 ♥♥,Hitmonlee,41
Endure,Normal,Status,—,—%,10,Tough,2 ♥♥,Hitmonlee,45
Mega Kick,Normal,Physical,120,75%,5,Cool,2 ♥♥,Hitmonlee,49
Close Combat,Fighting,Physical,120,100%,5,Smart,2 ♥♥,Hitmonlee,53
Reversal,Fighting,Physical,—,100%,15,Cool,2 ♥♥,Hitmonlee,57
Comet Punch,Normal,Physical,18,85%,15,Tough,2 ♥♥,Hitmonchan,1
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Hitmonchan,1
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Hitmonchan,6
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Hitmonchan,11
Bullet Punch,Steel,Physical,40,100%,30,Smart,2 ♥♥,Hitmonchan,16
Mach Punch,Fighting,Physical,40,100%,30,Cool,2 ♥♥,Hitmonchan,16
Feint,Normal,Physical,50,100%,10,Beauty,0,Hitmonchan,21
Vacuum Wave,Fighting,Special,40,100%,30,Smart,2 ♥♥,Hitmonchan,26
Fire Punch,Fire,Physical,75,100%,15,Beauty,2 ♥♥,Hitmonchan,31
Ice Punch,Ice,Physical,75,100%,15,Beauty,2 ♥♥,Hitmonchan,31
ThunderPunch,Electric,Physical,75,100%,15,Cool,2 ♥♥,Hitmonchan,31
Sky Uppercut,Fighting,Physical,85,90%,15,Cool,2 ♥♥,Hitmonchan,36
Mega Punch,Normal,Physical,80,85%,20,Tough,2 ♥♥,Hitmonchan,41
Detect,Fighting,Status,—,—%,5,Cool,0,Hitmonchan,46
Counter,Fighting,Physical,—,100%,20,Tough,2 ♥♥,Hitmonchan,51
Close Combat,Fighting,Physical,120,100%,5,Smart,2 ♥♥,Hitmonchan,56
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Hitmontop,1
Rolling Kick,Fighting,Physical,60,85%,15,Cool,3 ♥♥♥,Hitmontop,1
Focus Energy,Normal,Status,—,—%,30,Cool,0,Hitmontop,6
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Hitmontop,10
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Hitmontop,15
Triple Kick,Fighting,Physical,10,90%,10,Cool,2 ♥♥,Hitmontop,19
Rapid Spin,Normal,Physical,20,100%,40,Cool,2 ♥♥,Hitmontop,24
Counter,Fighting,Physical,—,100%,20,Tough,2 ♥♥,Hitmontop,28
Feint,Normal,Physical,50,100%,10,Beauty,0,Hitmontop,33
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Hitmontop,37
Gyro Ball,Steel,Physical,—,100%,5,Beauty,2 ♥♥,Hitmontop,42
Detect,Fighting,Status,—,—%,5,Cool,0,Hitmontop,46
Close Combat,Fighting,Physical,120,100%,5,Smart,2 ♥♥,Hitmontop,51
Endeavor,Normal,Physical,—,100%,5,Tough,2 ♥♥,Hitmontop,55
Power Swap,Psychic,Status,—,—%,10,Beauty,0,Girafarig,1
Guard Swap,Psychic,Status,—,—%,10,Cute,0,Girafarig,1
Astonish,Ghost,Physical,30,100%,15,Smart,3 ♥♥♥,Girafarig,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Girafarig,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Girafarig,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Girafarig,1
Odor Sleuth,Normal,Status,—,—%,40,Smart,1 ♥,Girafarig,5
Stomp,Normal,Physical,65,100%,20,Tough,3 ♥♥♥,Girafarig,10
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Girafarig,14
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Girafarig,19
Baton Pass,Normal,Status,—,—%,40,Cute,0,Girafarig,23
Assurance,Dark,Physical,50,100%,10,Beauty,2 ♥♥,Girafarig,28
Double Hit,Normal,Physical,35,90%,10,Smart,2 ♥♥,Girafarig,32
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Girafarig,37
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Girafarig,41
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Girafarig,46
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Tauros,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Tauros,3
Rage,Normal,Physical,20,100%,20,Cool,0,Tauros,5
Horn Attack,Normal,Physical,65,100%,25,Cool,3 ♥♥♥,Tauros,8
Scary Face,Normal,Status,—,90%,10,Tough,2 ♥♥,Tauros,11
Pursuit,Dark,Physical,40,100%,20,Smart,1 ♥,Tauros,15
Rest,Psychic,Status,—,—%,10,Cute,0,Tauros,19
Payback,Dark,Physical,50,100%,10,Cool,1 ♥,Tauros,24
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Tauros,29
Take Down,Normal,Physical,90,85%,20,Tough,3 ♥♥♥,Tauros,35
Swagger,Normal,Status,—,90%,15,Cute,2 ♥♥,Tauros,41
Thrash,Normal,Physical,90,100%,20,Tough,2 ♥♥,Tauros,48
Giga Impact,Normal,Physical,150,90%,5,Beauty,2 ♥♥,Tauros,55
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Miltank,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Miltank,3
Defense Curl,Normal,Status,—,—%,40,Cute,2 ♥♥,Miltank,5
Stomp,Normal,Physical,65,100%,20,Tough,3 ♥♥♥,Miltank,8
Milk Drink,Normal,Status,—,—%,10,Cute,0,Miltank,11
Bide,Normal,Physical,—,—%,10,Tough,2 ♥♥,Miltank,15
Rollout,Rock,Physical,30,90%,20,Tough,2 ♥♥,Miltank,19
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Miltank,24
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Miltank,29
Captivate,Normal,Status,—,100%,20,Beauty,2 ♥♥,Miltank,35
Gyro Ball,Steel,Physical,—,100%,5,Beauty,2 ♥♥,Miltank,41
Heal Bell,Normal,Status,—,—%,5,Beauty,0,Miltank,48
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Miltank,55
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Magby,1
Smog,Poison,Special,20,70%,20,Tough,3 ♥♥♥,Magby,1
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Magby,7
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Magby,10
Faint Attack,Dark,Physical,60,—%,20,Smart,2 ♥♥,Magby,16
Fire Spin,Fire,Special,15,70%,15,Beauty,0,Magby,19
Confuse Ray,Ghost,Status,—,100%,10,Smart,2 ♥♥,Magby,25
Fire Punch,Fire,Physical,75,100%,15,Beauty,2 ♥♥,Magby,28
Lava Plume,Fire,Special,80,100%,15,Tough,2 ♥♥,Magby,34
Flamethrower,Fire,Special,95,100%,15,Beauty,2 ♥♥,Magby,37
Sunny Day,Fire,Status,—,—%,5,Beauty,2 ♥♥,Magby,43
Fire Blast,Fire,Special,120,85%,5,Beauty,2 ♥♥,Magby,46
Smog,Poison,Special,20,70%,20,Tough,3 ♥♥♥,Magmar,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Magmar,1
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Magmar,1
Ember,Fire,Special,40,100%,25,Beauty,3 ♥♥♥,Magmar,7
SmokeScreen,Normal,Status,—,100%,20,Smart,2 ♥♥,Magmar,10
Faint Attack,Dark,Physical,60,—%,20,Smart,2 ♥♥,Magmar,16
Fire Spin,Fire,Special,15,70%,15,Beauty,0,Magmar,19
Confuse Ray,Ghost,Status,—,100%,10,Smart,2 ♥♥,Magmar,25
Fire Punch,Fire,Physical,75,100%,15,Beauty,2 ♥♥,Magmar,28
Lava Plume,Fire,Special,80,100%,15,Tough,2 ♥♥,Magmar,36
Flamethrower,Fire,Special,95,100%,15,Beauty,2 ♥♥,Magmar,41
Sunny Day,Fire,Status,—,—%,5,Beauty,2 ♥♥,Magmar,49
Fire Blast,Fire,Special,120,85%,5,Beauty,2 ♥♥,Magmar,54
Pound,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Smoochum,1
Lick,Ghost,Physical,20,100%,30,Tough,0,Smoochum,5
Sweet Kiss,Normal,Status,—,75%,10,Cute,2 ♥♥,Smoochum,8
Powder Snow,Ice,Special,40,100%,25,Beauty,3 ♥♥♥,Smoochum,11
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Smoochum,15
Sing,Normal,Status,—,55%,15,Cute,2 ♥♥,Smoochum,18
Mean Look,Normal,Status,—,—%,5,Beauty,2 ♥♥,Smoochum,21
Fake Tears,Dark,Status,—,100%,20,Smart,2 ♥♥,Smoochum,25
Lucky Chant,Normal,Status,—,—%,30,Cute,2 ♥♥,Smoochum,28
Avalanche,Ice,Physical,60,100%,10,Cool,2 ♥♥,Smoochum,31
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Smoochum,35
Copycat,Normal,Status,—,—%,20,Cool,0,Smoochum,38
Perish Song,Normal,Status,—,—%,5,Beauty,2 ♥♥,Smoochum,41
Blizzard,Ice,Special,120,70%,5,Beauty,2 ♥♥,Smoochum,45
Pound,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Jynx,1
Lick,Ghost,Physical,20,100%,30,Tough,0,Jynx,1
Lovely Kiss,Normal,Status,—,75%,10,Beauty,2 ♥♥,Jynx,1
Powder Snow,Ice,Special,40,100%,25,Beauty,3 ♥♥♥,Jynx,1
Lick,Ghost,Physical,20,100%,30,Tough,0,Jynx,5
Lovely Kiss,Normal,Status,—,75%,10,Beauty,2 ♥♥,Jynx,8
Powder Snow,Ice,Special,40,100%,25,Beauty,3 ♥♥♥,Jynx,11
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Jynx,15
Ice Punch,Ice,Physical,75,100%,15,Beauty,2 ♥♥,Jynx,18
Mean Look,Normal,Status,—,—%,5,Beauty,2 ♥♥,Jynx,21
Fake Tears,Dark,Status,—,100%,20,Smart,2 ♥♥,Jynx,25
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Jynx,28
Avalanche,Ice,Physical,60,100%,10,Cool,2 ♥♥,Jynx,33
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Jynx,39
Wring Out,Normal,Special,—,100%,5,Smart,2 ♥♥,Jynx,44
Perish Song,Normal,Status,—,—%,5,Beauty,2 ♥♥,Jynx,49
Blizzard,Ice,Special,120,70%,5,Beauty,2 ♥♥,Jynx,55
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Elekid,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Elekid,1
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Elekid,7
Low Kick,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Elekid,10
Swift,Normal,Special,60,—%,20,Cool,2 ♥♥,Elekid,16
Shock Wave,Electric,Special,60,—%,20,Cool,2 ♥♥,Elekid,19
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Elekid,25
ThunderPunch,Electric,Physical,75,100%,15,Cool,2 ♥♥,Elekid,28
Discharge,Electric,Special,80,100%,15,Cool,2 ♥♥,Elekid,34
Thunderbolt,Electric,Special,95,100%,15,Cool,2 ♥♥,Elekid,37
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Elekid,43
Thunder,Electric,Special,120,70%,10,Cool,2 ♥♥,Elekid,46
Quick Attack,Normal,Physical,40,100%,30,Cool,2 ♥♥,Electabuzz,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Electabuzz,1
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Electabuzz,1
ThunderShock,Electric,Special,40,100%,30,Cool,3 ♥♥♥,Electabuzz,7
Low Kick,Fighting,Physical,—,100%,20,Tough,3 ♥♥♥,Electabuzz,10
Swift,Normal,Special,60,—%,20,Cool,2 ♥♥,Electabuzz,16
Shock Wave,Electric,Special,60,—%,20,Cool,2 ♥♥,Electabuzz,19
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Electabuzz,25
ThunderPunch,Electric,Physical,75,100%,15,Cool,2 ♥♥,Electabuzz,28
Discharge,Electric,Special,80,100%,15,Cool,2 ♥♥,Electabuzz,37
Thunderbolt,Electric,Special,95,100%,15,Cool,2 ♥♥,Electabuzz,43
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Electabuzz,52
Thunder,Electric,Special,120,70%,10,Cool,2 ♥♥,Electabuzz,58
Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥,Mr. Mime,1
Power Swap,Psychic,Status,—,—%,10,Beauty,0,Mr. Mime,1
Guard Swap,Psychic,Status,—,—%,10,Cute,0,Mr. Mime,1
Barrier,Psychic,Status,—,—%,30,Cool,2 ♥♥,Mr. Mime,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Mr. Mime,1
Copycat,Normal,Status,—,—%,20,Cool,0,Mr. Mime,4
Meditate,Psychic,Status,—,—%,40,Beauty,0,Mr. Mime,8
Encore,Normal,Status,—,100%,5,Cute,1 ♥,Mr. Mime,11
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Mr. Mime,15
Mimic,Normal,Status,—,—%,10,Cute,0,Mr. Mime,18
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Mr. Mime,22
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Mr. Mime,22
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Mr. Mime,25
Substitute,Normal,Status,—,—%,10,Smart,1 ♥,Mr. Mime,29
Recycle,Normal,Status,—,—%,10,Smart,0,Mr. Mime,32
Trick,Psychic,Status,—,100%,10,Smart,0,Mr. Mime,36
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Mr. Mime,39
Role Play,Psychic,Status,—,—%,10,Cute,1 ♥,Mr. Mime,43
Baton Pass,Normal,Status,—,—%,40,Cute,0,Mr. Mime,46
Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥,Mr. Mime,50
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,1
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,11
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,21
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,31
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,41
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,51
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,61
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,71
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,81
Sketch,Normal,Status,—,—%,1,Smart,1 ♥,Smeargle,91
Poison Jab,Poison,Physical,80,100%,20,Smart,2 ♥♥,Farfetch'd,1
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Farfetch'd,1
Sand-Attack,Ground,Status,—,100%,15,Cute,2 ♥♥,Farfetch'd,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Farfetch'd,1
Fury Cutter,Bug,Physical,10,95%,20,Cool,2 ♥♥,Farfetch'd,1
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Farfetch'd,7
Knock Off,Dark,Physical,20,100%,20,Smart,3 ♥♥♥,Farfetch'd,9
Aerial Ace,Flying,Physical,60,—%,20,Cool,2 ♥♥,Farfetch'd,13
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Farfetch'd,19
Air Cutter,Flying,Special,55,95%,25,Cool,3 ♥♥♥,Farfetch'd,21
Swords Dance,Normal,Status,—,—%,30,Beauty,0,Farfetch'd,25
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Farfetch'd,31
Night Slash,Dark,Physical,70,100%,15,Beauty,3 ♥♥♥,Farfetch'd,33
Air Slash,Flying,Special,75,95%,20,Cool,2 ♥♥,Farfetch'd,37
Feint,Normal,Physical,50,100%,10,Beauty,0,Farfetch'd,43
False Swipe,Normal,Physical,40,100%,40,Cool,0,Farfetch'd,45
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Natu,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Natu,1
Night Shade,Ghost,Special,—,100%,15,Smart,3 ♥♥♥,Natu,6
Teleport,Psychic,Status,—,—%,20,Cool,2 ♥♥,Natu,9
Lucky Chant,Normal,Status,—,—%,30,Cute,2 ♥♥,Natu,12
Miracle Eye,Psychic,Status,—,—%,40,Cute,1 ♥,Natu,17
Me First,Normal,Status,—,—%,20,Cute,2 ♥♥,Natu,20
Confuse Ray,Ghost,Status,—,100%,10,Smart,2 ♥♥,Natu,23
Wish,Normal,Status,—,—%,10,Cute,0,Natu,28
Psycho Shift,Psychic,Status,—,90%,10,Cool,0,Natu,33
Future Sight,Psychic,Special,80,90%,15,Smart,2 ♥♥,Natu,36
Ominous Wind,Ghost,Special,60,100%,5,Smart,0,Natu,39
Power Swap,Psychic,Status,—,—%,10,Beauty,0,Natu,44
Guard Swap,Psychic,Status,—,—%,10,Cute,0,Natu,44
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Natu,47
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Xatu,1
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Xatu,1
Night Shade,Ghost,Special,—,100%,15,Smart,3 ♥♥♥,Xatu,6
Teleport,Psychic,Status,—,—%,20,Cool,2 ♥♥,Xatu,9
Lucky Chant,Normal,Status,—,—%,30,Cute,2 ♥♥,Xatu,12
Miracle Eye,Psychic,Status,—,—%,40,Cute,1 ♥,Xatu,17
Me First,Normal,Status,—,—%,20,Cute,2 ♥♥,Xatu,20
Confuse Ray,Ghost,Status,—,100%,10,Smart,2 ♥♥,Xatu,23
Tailwind,Flying,Status,—,—%,30,Smart,2 ♥♥,Xatu,27
Wish,Normal,Status,—,—%,10,Cute,0,Xatu,30
Psycho Shift,Psychic,Status,—,90%,10,Cool,0,Xatu,37
Future Sight,Psychic,Special,80,90%,15,Smart,2 ♥♥,Xatu,42
Ominous Wind,Ghost,Special,60,100%,5,Smart,0,Xatu,47
Power Swap,Psychic,Status,—,—%,10,Beauty,0,Xatu,54
Guard Swap,Psychic,Status,—,—%,10,Cute,0,Xatu,54
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Xatu,59
Spikes,Ground,Status,—,—%,20,Smart,2 ♥♥,Qwilfish,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Qwilfish,1
Poison Sting,Poison,Physical,15,100%,35,Smart,2 ♥♥,Qwilfish,1
Harden,Normal,Status,—,—%,30,Tough,2 ♥♥,Qwilfish,9
Minimize,Normal,Status,—,—%,20,Cute,2 ♥♥,Qwilfish,9
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Qwilfish,13
Rollout,Rock,Physical,30,90%,20,Tough,2 ♥♥,Qwilfish,17
Toxic Spikes,Poison,Status,—,—%,20,Smart,2 ♥♥,Qwilfish,21
Stockpile,Normal,Status,—,—%,20,Tough,0,Qwilfish,25
Spit Up,Normal,Special,—,100%,10,Tough,2 ♥♥,Qwilfish,25
Revenge,Fighting,Physical,60,100%,10,Tough,2 ♥♥,Qwilfish,29
Brine,Water,Special,65,100%,10,Smart,2 ♥♥,Qwilfish,33
Pin Missile,Bug,Physical,14,85%,20,Cool,2 ♥♥,Qwilfish,37
Take Down,Normal,Physical,90,85%,20,Tough,3 ♥♥♥,Qwilfish,41
Aqua Tail,Water,Physical,90,90%,10,Cute,3 ♥♥♥,Qwilfish,45
Poison Jab,Poison,Physical,80,100%,20,Smart,2 ♥♥,Qwilfish,49
Destiny Bond,Ghost,Status,—,—%,5,Smart,0,Qwilfish,53
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Qwilfish,57
Poison Sting,Poison,Physical,15,100%,35,Smart,2 ♥♥,Tentacool,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Tentacool,5
Constrict,Normal,Physical,10,100%,35,Tough,0,Tentacool,8
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Tentacool,12
Toxic Spikes,Poison,Status,—,—%,20,Smart,2 ♥♥,Tentacool,15
BubbleBeam,Water,Special,65,100%,20,Beauty,2 ♥♥,Tentacool,19
Wrap,Normal,Physical,15,85%,20,Tough,0,Tentacool,22
Barrier,Psychic,Status,—,—%,30,Cool,2 ♥♥,Tentacool,26
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Tentacool,29
Poison Jab,Poison,Physical,80,100%,20,Smart,2 ♥♥,Tentacool,33
Screech,Normal,Status,—,85%,40,Smart,2 ♥♥,Tentacool,36
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Tentacool,40
Wring Out,Normal,Special,—,100%,5,Smart,2 ♥♥,Tentacool,43
Poison Sting,Poison,Physical,15,100%,35,Smart,2 ♥♥,Tentacruel,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Tentacruel,1
Constrict,Normal,Physical,10,100%,35,Tough,0,Tentacruel,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Tentacruel,5
Constrict,Normal,Physical,10,100%,35,Tough,0,Tentacruel,8
